station,date,type,name,remarks
0645,2013-05-13T00:00Z,REC,UNKNOWN             ,Added 28sep2019 by HM
0645,2014-09-01T00:00Z,REC,LEICA GRX1200+GNSS  , 
0645,2015-06-24T00:00Z,REC,SEPT POLARX4        , 
0645,2013-05-13T00:00Z,ANT,UNKNOWN             ,Added 28sep2019 by HM
0645,2014-09-01T00:00Z,ANT,LEIAR25.R4      LEIT, 
0645,2018-01-24T00:00Z,DPL,                    ,Added 28sep2019 by HM
0647,2002-11-19T00:00Z,REC,GNREF               ,Added 24sep2019 by HM
0647,2007-09-23T00:00Z,REC,LEICA GRX1200GGPRO  ,Added 24sep2019 by HM
0647,2010-08-27T00:00Z,REC,LEICA GRX1200+GNSS  ,Modif 24sep2019 by HM
0647,2015-06-25T00:00Z,REC,SEPT POLARX4        , 
0647,2002-11-19T00:00Z,ANT,GPPNULLANTENNA      ,Added 24sep2019 by HM
0647,2007-09-23T00:00Z,ANT,LEIAT504GG      LEIS,Added 24sep2019 by HM
0647,2011-09-21T00:00Z,ANT,LEIAR25.R4      LEIT,Added 24sep2019 by HM
0647,2012-01-27T00:00Z,ANT,LEIAR25.R4      LEIT,Modif 24sep2019 by HM for date and ant height
0647,2010-10-22T00:00Z,DPL,                    ,Added 28sep2019 by HM
0683,2003-02-01T00:00Z,REC,UNKNOWN             ,Added 28sep2019 by HM
0683,2007-09-23T00:00Z,REC,LEICA GRX1200GGPRO  ,Added 27sep2019 by HM
0683,2010-06-24T00:00Z,REC,LEICA GRX1200+GNSS  ,Modif 27sep2019 by HM
0683,2015-06-24T09:38Z,REC,SEPT POLARX4        , 
0683,2003-02-01T00:00Z,ANT,UNKNOWN             ,Added 28sep2019 by HM
0683,2007-09-23T00:00Z,ANT,LEIAT504GG      LEIS,Added 27sep2019 by HM
0683,2011-09-21T00:00Z,ANT,LEIAR25.R4      LEIT,Modif 27sep2019 by HM
0683,2011-05-19T00:00Z,DPL,                    ,Added 28sep2019 by HM
0687,2000-11-01T00:00Z,REC,GNREF               ,Added 27sep2019 by HM
0687,2007-06-05T00:00Z,REC,LEICA GRX1200GGPRO  ,NAM dataset
0687,2007-09-23T00:00Z,   ,LEICA GRX1200GGPRO  ,06GPS dataset
0687,2010-08-27T00:00Z,REC,LEICA GRX1200+GNSS  , 
0687,2015-06-26T00:00Z,REC,SEPT POLARX4        , 
0687,2010-08-27T00:00Z,REC,LEICA GRX1200+GNSS  , 
0687,2015-06-26T00:00Z,REC,SEPT POLARX4        , 
0687,2000-11-01T00:00Z,ANT,GPPNULLANTENNA      ,Added 27sep2019 by HM
0687,2007-06-05T00:00Z,ANT,LEIAT504GG      LEIS,NAM dataset
0687,2007-09-23T00:00Z,   ,LEIAT504GG      LEIS,06GPS dataset
0687,2010-10-22T00:00Z,ANT,LEIAR25.R4      LEIT, 
ADR2,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
ADR2,2016-09-29T00:00Z,REC,LEICA GR50          , 
ADR2,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
ADR2,2015-08-11T00:00Z,ANT,LEIAR20+S10     LEIM, 
ALK2,2008-09-06T00:00Z,REC,TPS ODYSSEY_E       , 
ALK2,2008-09-06T00:00Z,ANT,TPSCR.G3+M2     TPSH, 
ALKM,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
ALKM,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
AME1,2006-05-09T00:00Z,REC,TPS GB-1000         ,Modif 26sep2019 by HM
AME1,2017-04-26T08:28Z,REC,TPS EG3_OEM         , 
AME1,2006-05-09T00:00Z,ANT,TPSCR3_GGD      CONE,Modif 26sep2019 by HM
AME2,2014-09-12T13:28Z,REC,TPS EG3_OEM         , 
AME2,2014-09-12T13:28Z,ANT,TPSCR.G5        TPSH, 
AME2,2016-06-25T00:00Z,DPL,                    ,Added 5sep2019 by HM
AMEL,2014-06-16T00:00Z,REC,LEICA GR25          , 
AMEL,2016-07-14T00:00Z,REC,TRIMBLE NETR9       , 
